Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃),,,,,,,,,,,,,,,,,,,,,,
1,600,27.66,34.44,2.87,1.6,15.97,10.02,1.55,2.67,0,3.23,0,0,0,0,0,0,0,0,0,0,0.8,9.64,850,,,,,,,,,,,,,,,,,,,,,,
2,600,41.76,34.05,10.95,3.51,2.84,3.38,0,1.35,0,2.16,0,0,0,0,0,0,0,0,0,0,1.23,3.81,1277,,,,,,,,,,,,,,,,,,,,,,
3,600,38.78,32.65,12.24,3.06,6.12,6.12,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,3.17,1191,,,,,,,,,,,,,,,,,,,,,,
4,600,34.31,30.35,1.39,3.04,13.61,8.96,4.16,4.19,0,0,0,0,0,0,0,0,0,0,0,0,1.13,24.68,768,,,,,,,,,,,,,,,,,,,,,,
5,600,37.97,31.57,3.32,1.79,9.96,8.81,3.41,3.17,0,0,0,0,0,0,0,0,0,0,0,0,1.2,11.44,821,,,,,,,,,,,,,,,,,,,,,,
6,600,36.61,40.07,3.41,0.9,11.37,6.41,0.72,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.91,10.74,1067,,,,,,,,,,,,,,,,,,,,,,
7,600,43.06,34.44,4,2,7.5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,10.77,1082,,,,,,,,,,,,,,,,,,,,,,
8,600,31.2,39.63,7.1,0.82,9.8,5.83,1.34,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0.79,4.39,1045,,,,,,,,,,,,,,,,,,,,,,
9,600,40.86,34.81,9.95,4.17,5.51,2.02,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,1.17,4.11,1253,,,,,,,,,,,,,,,,,,,,,,
10,600,39.81,36.19,6,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,6.64,1155,,,,,,,,,,,,,,,,,,,,,,
11,600,44.57,36.89,6.08,0,7.25,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,7.33,1103,,,,,,,,,,,,,,,,,,,,,,
12,600,29.03,30.11,3.9,8.91,14.46,11.47,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0.96,7.44,957,,,,,,,,,,,,,,,,,,,,,,
13,600,34.87,31.75,3.98,0.9,11.67,12.86,1.4,0,0,2.57,0,0,0,0,0,0,0,0,0,0,1.1,8.76,992,,,,,,,,,,,,,,,,,,,,,,
14,600,41.2,34.9,5,0.6,11,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,8.24,1084,,,,,,,,,,,,,,,,,,,,,,
15,600,35.6,5.3,33.1,2.5,6,6,4.5,7,0,0,0,0,0,0,0,0,0,0,0,0,6.72,1.08,1070,,,,,,,,,,,,,,,,,,,,,,
16,600,45,7,25,2,8,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,6.43,1.8,1155,,,,,,,,,,,,,,,,,,,,,,
